date,category,vaccination,units
25-12-2022,18+ Age 2nd Dose,"86,50,95,006",vaccination in absolute number
25-12-2022,15-18 Age 1st Dose,"6,21,16,855",vaccination in absolute number
25-12-2022,15-18 Age 2nd Dose,"5,36,46,240",vaccination in absolute number
24-12-2022,18+ Age 1st Dose,"92,21,54,902",vaccination in absolute number
24-12-2022,18+ Age 24hr Vaccination,"4,000",vaccination in absolute number
24-12-2022,18+ Age 2nd Dose,"86,50,84,458",vaccination in absolute number
24-12-2022,15-18 Age 1st Dose,"6,21,14,106",vaccination in absolute number
24-12-2022,15-18 Age 2nd Dose,"5,36,39,287",vaccination in absolute number
23-12-2022,18+ Age 1st Dose,"92,21,50,302",vaccination in absolute number
23-12-2022,18+ Age 24hr Vaccination,"3,371",vaccination in absolute number
23-12-2022,18+ Age 2nd Dose,"86,50,73,869",vaccination in absolute number
23-12-2022,15-18 Age 1st Dose,"6,21,11,781",vaccination in absolute number
23-12-2022,15-18 Age 2nd Dose,"5,36,29,741",vaccination in absolute number
22-12-2022,18+ Age 1st Dose,"92,21,46,931",vaccination in absolute number
22-12-2022,18+ Age 24hr Vaccination,"2,434",vaccination in absolute number
22-12-2022,18+ Age 2nd Dose,"86,50,64,230",vaccination in absolute number
22-12-2022,15-18 Age 1st Dose,"6,21,09,513",vaccination in absolute number
22-12-2022,15-18 Age 2nd Dose,"5,36,20,375",vaccination in absolute number
21-12-2022,18+ Age 1st Dose,"92,21,44,497",vaccination in absolute number
21-12-2022,18+ Age 24hr Vaccination,"2,198",vaccination in absolute number
21-12-2022,18+ Age 2nd Dose,"86,50,54,141",vaccination in absolute number
21-12-2022,15-18 Age 1st Dose,"6,21,07,600",vaccination in absolute number
21-12-2022,15-18 Age 2nd Dose,"5,36,12,040",vaccination in absolute number
20-12-2022,18+ Age 1st Dose,"92,21,42,299",vaccination in absolute number
20-12-2022,18+ Age 24hr Vaccination,"2,302",vaccination in absolute number
20-12-2022,18+ Age 2nd Dose,"86,50,44,319",vaccination in absolute number
20-12-2022,15-18 Age 1st Dose,"6,21,05,009",vaccination in absolute number
20-12-2022,15-18 Age 2nd Dose,"5,36,04,094",vaccination in absolute number
19-12-2022,18+ Age 1st Dose,"92,21,39,997",vaccination in absolute number
19-12-2022,18+ Age 24hr Vaccination,605,vaccination in absolute number
19-12-2022,18+ Age 2nd Dose,"86,50,36,504",vaccination in absolute number
19-12-2022,15-18 Age 1st Dose,"6,21,02,980",vaccination in absolute number
19-12-2022,15-18 Age 2nd Dose,"5,35,96,969",vaccination in absolute number
18-12-2022,18+ Age 1st Dose,"92,21,39,392",vaccination in absolute number
18-12-2022,18+ Age 24hr Vaccination,"2,045",vaccination in absolute number
18-12-2022,18+ Age 2nd Dose,"86,50,35,346",vaccination in absolute number
18-12-2022,15-18 Age 1st Dose,"6,21,02,660",vaccination in absolute number
18-12-2022,15-18 Age 2nd Dose,"5,35,96,315",vaccination in absolute number
17-12-2022,18+ Age 1st Dose,"92,21,37,347",vaccination in absolute number
17-12-2022,18+ Age 24hr Vaccination,"2,289",vaccination in absolute number
17-12-2022,18+ Age 2nd Dose,"86,50,26,994",vaccination in absolute number
17-12-2022,15-18 Age 1st Dose,"6,21,01,338",vaccination in absolute number
17-12-2022,15-18 Age 2nd Dose,"5,35,89,588",vaccination in absolute number
16-12-2022,18+ Age 1st Dose,"92,21,35,058",vaccination in absolute number
16-12-2022,18+ Age 24hr Vaccination,"3,520",vaccination in absolute number
16-12-2022,18+ Age 2nd Dose,"86,50,19,705",vaccination in absolute number
16-12-2022,15-18 Age 1st Dose,"6,20,99,790",vaccination in absolute number
16-12-2022,15-18 Age 2nd Dose,"5,35,82,941",vaccination in absolute number
15-12-2022,18+ Age 1st Dose,"92,21,31,538",vaccination in absolute number
15-12-2022,18+ Age 24hr Vaccination,"3,056",vaccination in absolute number
15-12-2022,18+ Age 2nd Dose,"86,50,10,279",vaccination in absolute number
15-12-2022,15-18 Age 1st Dose,"6,20,97,655",vaccination in absolute number
15-12-2022,15-18 Age 2nd Dose,"5,35,76,142",vaccination in absolute number
14-12-2022,18+ Age 1st Dose,"92,21,28,482",vaccination in absolute number
14-12-2022,18+ Age 24hr Vaccination,"2,927",vaccination in absolute number
14-12-2022,18+ Age 2nd Dose,"86,50,01,184",vaccination in absolute number
14-12-2022,15-18 Age 1st Dose,"6,20,95,756",vaccination in absolute number
14-12-2022,15-18 Age 2nd Dose,"5,35,68,283",vaccination in absolute number
13-12-2022,18+ Age 1st Dose,"92,21,25,555",vaccination in absolute number
13-12-2022,18+ Age 24hr Vaccination,"2,323",vaccination in absolute number
13-12-2022,18+ Age 2nd Dose,"86,49,91,453",vaccination in absolute number
13-12-2022,15-18 Age 1st Dose,"6,20,93,267",vaccination in absolute number
13-12-2022,15-18 Age 2nd Dose,"5,35,61,753",vaccination in absolute number
12-12-2022,18+ Age 1st Dose,"92,21,23,232",vaccination in absolute number
12-12-2022,18+ Age 24hr Vaccination,386,vaccination in absolute number
12-12-2022,18+ Age 2nd Dose,"86,49,82,349",vaccination in absolute number
12-12-2022,15-18 Age 1st Dose,"6,20,91,499",vaccination in absolute number
12-12-2022,15-18 Age 2nd Dose,"5,35,55,985",vaccination in absolute number
11-12-2022,18+ Age 1st Dose,"92,21,22,846",vaccination in absolute number
11-12-2022,18+ Age 24hr Vaccination,"1,990",vaccination in absolute number
11-12-2022,18+ Age 2nd Dose,"86,49,80,508",vaccination in absolute number
11-12-2022,15-18 Age 1st Dose,"6,20,90,754",vaccination in absolute number
11-12-2022,15-18 Age 2nd Dose,"5,35,54,429",vaccination in absolute number
10-12-2022,18+ Age 1st Dose,"92,21,20,856",vaccination in absolute number
10-12-2022,18+ Age 24hr Vaccination,"1,999",vaccination in absolute number
10-12-2022,18+ Age 2nd Dose,"86,49,72,636",vaccination in absolute number
10-12-2022,15-18 Age 1st Dose,"6,20,89,261",vaccination in absolute number
