date,category,vaccination,units
28-10-2022,18+ Age 2nd Dose,864464133,vaccination in absolute number
28-10-2022,15-18 Age 1st Dose,62010124,vaccination in absolute number
28-10-2022,15-18 Age 2nd Dose,53334455,vaccination in absolute number
27-10-2022,18+ Age 1st Dose,921995135,vaccination in absolute number
27-10-2022,18+ Age 24hr Vaccination,4130,vaccination in absolute number
27-10-2022,18+ Age 2nd Dose,864448653,vaccination in absolute number
27-10-2022,15-18 Age 1st Dose,62008237,vaccination in absolute number
27-10-2022,15-18 Age 2nd Dose,53327225,vaccination in absolute number
26-10-2022,18+ Age 1st Dose,921991005,vaccination in absolute number
26-10-2022,18+ Age 24hr Vaccination,1609,vaccination in absolute number
26-10-2022,18+ Age 2nd Dose,864434945,vaccination in absolute number
26-10-2022,15-18 Age 1st Dose,62007143,vaccination in absolute number
26-10-2022,15-18 Age 2nd Dose,53322158,vaccination in absolute number
25-10-2022,18+ Age 1st Dose,921989396,vaccination in absolute number
25-10-2022,18+ Age 24hr Vaccination,661,vaccination in absolute number
25-10-2022,18+ Age 2nd Dose,864425295,vaccination in absolute number
25-10-2022,15-18 Age 1st Dose,62005981,vaccination in absolute number
25-10-2022,15-18 Age 2nd Dose,53318923,vaccination in absolute number
24-10-2022,18+ Age 1st Dose,921988735,vaccination in absolute number
24-10-2022,18+ Age 24hr Vaccination,799,vaccination in absolute number
24-10-2022,18+ Age 2nd Dose,864423249,vaccination in absolute number
24-10-2022,15-18 Age 1st Dose,62005842,vaccination in absolute number
24-10-2022,15-18 Age 2nd Dose,53318014,vaccination in absolute number
23-10-2022,18+ Age 1st Dose,921987936,vaccination in absolute number
23-10-2022,18+ Age 24hr Vaccination,3624,vaccination in absolute number
23-10-2022,18+ Age 2nd Dose,864419139,vaccination in absolute number
23-10-2022,15-18 Age 1st Dose,62005148,vaccination in absolute number
23-10-2022,15-18 Age 2nd Dose,53316726,vaccination in absolute number
22-10-2022,18+ Age 1st Dose,921984312,vaccination in absolute number
22-10-2022,18+ Age 24hr Vaccination,5590,vaccination in absolute number
22-10-2022,18+ Age 2nd Dose,864397099,vaccination in absolute number
22-10-2022,15-18 Age 1st Dose,62003360,vaccination in absolute number
22-10-2022,15-18 Age 2nd Dose,53309378,vaccination in absolute number
21-10-2022,18+ Age 1st Dose,921978722,vaccination in absolute number
21-10-2022,18+ Age 24hr Vaccination,7352,vaccination in absolute number
21-10-2022,18+ Age 2nd Dose,864371149,vaccination in absolute number
21-10-2022,15-18 Age 1st Dose,62000806,vaccination in absolute number
21-10-2022,15-18 Age 2nd Dose,53297822,vaccination in absolute number
20-10-2022,18+ Age 1st Dose,921971370,vaccination in absolute number
20-10-2022,18+ Age 24hr Vaccination,7157,vaccination in absolute number
20-10-2022,18+ Age 2nd Dose,864330347,vaccination in absolute number
20-10-2022,15-18 Age 1st Dose,61996247,vaccination in absolute number
20-10-2022,15-18 Age 2nd Dose,53280780,vaccination in absolute number
19-10-2022,18+ Age 1st Dose,921964213,vaccination in absolute number
19-10-2022,18+ Age 24hr Vaccination,6358,vaccination in absolute number
19-10-2022,18+ Age 2nd Dose,864295480,vaccination in absolute number
19-10-2022,15-18 Age 1st Dose,61992857,vaccination in absolute number
19-10-2022,15-18 Age 2nd Dose,53267531,vaccination in absolute number
18-10-2022,18+ Age 1st Dose,921957855,vaccination in absolute number
18-10-2022,18+ Age 24hr Vaccination,7097,vaccination in absolute number
18-10-2022,18+ Age 2nd Dose,864266662,vaccination in absolute number
18-10-2022,15-18 Age 1st Dose,61989913,vaccination in absolute number
18-10-2022,15-18 Age 2nd Dose,53256344,vaccination in absolute number
17-10-2022,18+ Age 1st Dose,921950758,vaccination in absolute number
17-10-2022,18+ Age 24hr Vaccination,1915,vaccination in absolute number
17-10-2022,18+ Age 2nd Dose,864237716,vaccination in absolute number
17-10-2022,15-18 Age 1st Dose,61986688,vaccination in absolute number
17-10-2022,15-18 Age 2nd Dose,53243367,vaccination in absolute number
16-10-2022,18+ Age 1st Dose,921948843,vaccination in absolute number
16-10-2022,18+ Age 24hr Vaccination,7311,vaccination in absolute number
16-10-2022,18+ Age 2nd Dose,864228440,vaccination in absolute number
16-10-2022,15-18 Age 1st Dose,61985987,vaccination in absolute number
16-10-2022,15-18 Age 2nd Dose,53240838,vaccination in absolute number
15-10-2022,18+ Age 1st Dose,921941531,vaccination in absolute number
15-10-2022,18+ Age 24hr Vaccination,9156,vaccination in absolute number
15-10-2022,18+ Age 2nd Dose,864195454,vaccination in absolute number
15-10-2022,15-18 Age 1st Dose,61982511,vaccination in absolute number
15-10-2022,15-18 Age 2nd Dose,53227865,vaccination in absolute number
14-10-2022,18+ Age 1st Dose,921932375,vaccination in absolute number
14-10-2022,18+ Age 24hr Vaccination,11252,vaccination in absolute number
14-10-2022,18+ Age 2nd Dose,864159652,vaccination in absolute number
14-10-2022,15-18 Age 1st Dose,61978379,vaccination in absolute number
14-10-2022,15-18 Age 2nd Dose,53214174,vaccination in absolute number
13-10-2022,18+ Age 1st Dose,921921123,vaccination in absolute number
13-10-2022,18+ Age 24hr Vaccination,8683,vaccination in absolute number
13-10-2022,18+ Age 2nd Dose,864108725,vaccination in absolute number
13-10-2022,15-18 Age 1st Dose,61974140,vaccination in absolute number
13-10-2022,15-18 Age 2nd Dose,53195854,vaccination in absolute number
12-10-2022,18+ Age 1st Dose,921912440,vaccination in absolute number
12-10-2022,18+ Age 24hr Vaccination,9329,vaccination in absolute number
12-10-2022,18+ Age 2nd Dose,864068888,vaccination in absolute number
12-10-2022,15-18 Age 1st Dose,61970030,vaccination in absolute number
12-10-2022,15-18 Age 2nd Dose,53183680,vaccination in absolute number
11-10-2022,18+ Age 1st Dose,921903111,vaccination in absolute number
11-10-2022,18+ Age 24hr Vaccination,9293,vaccination in absolute number
11-10-2022,18+ Age 2nd Dose,864034069,vaccination in absolute number
11-10-2022,15-18 Age 1st Dose,61966450,vaccination in absolute number
11-10-2022,15-18 Age 2nd Dose,53171570,vaccination in absolute number
10-10-2022,18+ Age 1st Dose,921893818,vaccination in absolute number
10-10-2022,18+ Age 24hr Vaccination,2251,vaccination in absolute number
10-10-2022,18+ Age 2nd Dose,864001162,vaccination in absolute number
10-10-2022,15-18 Age 1st Dose,61963310,vaccination in absolute number
10-10-2022,15-18 Age 2nd Dose,53159399,vaccination in absolute number
09-10-2022,18+ Age 1st Dose,921891567,vaccination in absolute number
09-10-2022,18+ Age 24hr Vaccination,8180,vaccination in absolute number
09-10-2022,18+ Age 2nd Dose,863991078,vaccination in absolute number
09-10-2022,15-18 Age 1st Dose,61962380,vaccination in absolute number
09-10-2022,15-18 Age 2nd Dose,53155857,vaccination in absolute number
08-10-2022,18+ Age 1st Dose,921883387,vaccination in absolute number
08-10-2022,18+ Age 24hr Vaccination,8623,vaccination in absolute number
08-10-2022,18+ Age 2nd Dose,863955176,vaccination in absolute number
08-10-2022,15-18 Age 1st Dose,61959007,vaccination in absolute number
08-10-2022,15-18 Age 2nd Dose,53138901,vaccination in absolute number
07-10-2022,18+ Age 1st Dose,921874764,vaccination in absolute number
07-10-2022,18+ Age 24hr Vaccination,7629,vaccination in absolute number
07-10-2022,18+ Age 2nd Dose,863920719,vaccination in absolute number
07-10-2022,15-18 Age 1st Dose,61954847,vaccination in absolute number
07-10-2022,15-18 Age 2nd Dose,53122655,vaccination in absolute number
06-10-2022,18+ Age 1st Dose,921867135,vaccination in absolute number
06-10-2022,18+ Age 24hr Vaccination,1556,vaccination in absolute number
06-10-2022,18+ Age 2nd Dose,86388294,vaccination in absolute number
06-10-2022,15-18 Age 1st Dose,61952389,vaccination in absolute number
06-10-2022,15-18 Age 2nd Dose,53111120,vaccination in absolute number
05-10-2022,18+ Age 1st Dose,921865579,vaccination in absolute number
05-10-2022,18+ Age 24hr Vaccination,4544,vaccination in absolute number
05-10-2022,18+ Age 2nd Dose,863874500,vaccination in absolute number
05-10-2022,15-18 Age 1st Dose,61952007,vaccination in absolute number
05-10-2022,15-18 Age 2nd Dose,53106590,vaccination in absolute number
04-10-2022,18+ Age 1st Dose,921861035,vaccination in absolute number
04-10-2022,18+ Age 24hr Vaccination,8218,vaccination in absolute number
04-10-2022,18+ Age 2nd Dose,863856823,vaccination in absolute number
04-10-2022,15-18 Age 1st Dose,61950936,vaccination in absolute number
04-10-2022,15-18 Age 2nd Dose,53100981,vaccination in absolute number
03-10-2022,18+ Age 1st Dose,921852817,vaccination in absolute number
03-10-2022,18+ Age 24hr Vaccination,3734,vaccination in absolute number
03-10-2022,18+ Age 2nd Dose,863830058,vaccination in absolute number
03-10-2022,15-18 Age 1st Dose,61949677,vaccination in absolute number
03-10-2022,15-18 Age 2nd Dose,53095999,vaccination in absolute number
02-10-2022,18+ Age 1st Dose,921849083,vaccination in absolute number
02-10-2022,18+ Age 24hr Vaccination,12213,vaccination in absolute number
02-10-2022,18+ Age 2nd Dose,863816642,vaccination in absolute number
02-10-2022,15-18 Age 1st Dose,61949191,vaccination in absolute number
02-10-2022,15-18 Age 2nd Dose,53092044,vaccination in absolute number
01-10-2022,18+ Age 1st Dose,921836870,vaccination in absolute number
01-10-2022,18+ Age 24hr Vaccination,18085,vaccination in absolute number
01-10-2022,18+ Age 2nd Dose,863768223,vaccination in absolute number
01-10-2022,15-18 Age 1st Dose,61946334,vaccination in absolute number
01-10-2022,15-18 Age 2nd Dose,53078937,vaccination in absolute number
30-09-2022,18+ Age 1st Dose,921818785,vaccination in absolute number
30-09-2022,18+ Age 24hr Vaccination,37203,vaccination in absolute number
30-09-2022,18+ Age 2nd Dose,863685824,vaccination in absolute number
30-09-2022,15-18 Age 1st Dose,61941732,vaccination in absolute number
30-09-2022,15-18 Age 2nd Dose,53057606,vaccination in absolute number
29-09-2022,18+ Age 1st Dose,921781582,vaccination in absolute number
29-09-2022,18+ Age 24hr Vaccination,17768,vaccination in absolute number
29-09-2022,18+ Age 2nd Dose,863523654,vaccination in absolute number
29-09-2022,15-18 Age 1st Dose,61933703,vaccination in absolute number
29-09-2022,15-18 Age 2nd Dose,53025284,vaccination in absolute number
28-09-2022,18+ Age 1st Dose,921763814,vaccination in absolute number
28-09-2022,18+ Age 24hr Vaccination,16586,vaccination in absolute number
28-09-2022,18+ Age 2nd Dose,863441748,vaccination in absolute number
28-09-2022,15-18 Age 1st Dose,61928040,vaccination in absolute number
28-09-2022,15-18 Age 2nd Dose,53002753,vaccination in absolute number
27-09-2022,18+ Age 1st Dose,921747228,vaccination in absolute number
27-09-2022,18+ Age 24hr Vaccination,16119,vaccination in absolute number
27-09-2022,18+ Age 2nd Dose,863370795,vaccination in absolute number
27-09-2022,15-18 Age 1st Dose,61923194,vaccination in absolute number
27-09-2022,15-18 Age 2nd Dose,52987057,vaccination in absolute number
26-09-2022,18+ Age 1st Dose,921731109,vaccination in absolute number
26-09-2022,18+ Age 24hr Vaccination,31790,vaccination in absolute number
26-09-2022,18+ Age 2nd Dose,863306112,vaccination in absolute number
26-09-2022,15-18 Age 1st Dose,61917962,vaccination in absolute number
26-09-2022,15-18 Age 2nd Dose,52972396,vaccination in absolute number
25-09-2022,18+ Age 1st Dose,921699319,vaccination in absolute number
25-09-2022,18+ Age 24hr Vaccination,20742,vaccination in absolute number
25-09-2022,18+ Age 2nd Dose,863173529,vaccination in absolute number
25-09-2022,15-18 Age 1st Dose,61915598,vaccination in absolute number
25-09-2022,15-18 Age 2nd Dose,52962331,vaccination in absolute number
24-09-2022,18+ Age 1st Dose,921678577,vaccination in absolute number
24-09-2022,18+ Age 24hr Vaccination,18062,vaccination in absolute number
24-09-2022,18+ Age 2nd Dose,863096298,vaccination in absolute number
24-09-2022,15-18 Age 1st Dose,61909668,vaccination in absolute number
24-09-2022,15-18 Age 2nd Dose,52942987,vaccination in absolute number
23-09-2022,18+ Age 1st Dose,921660515,vaccination in absolute number
23-09-2022,18+ Age 24hr Vaccination,21718,vaccination in absolute number
23-09-2022,18+ Age 2nd Dose,863024834,vaccination in absolute number
23-09-2022,15-18 Age 1st Dose,61903194,vaccination in absolute number
23-09-2022,15-18 Age 2nd Dose,52924021,vaccination in absolute number
22-09-2022,18+ Age 1st Dose,921638797,vaccination in absolute number
22-09-2022,18+ Age 24hr Vaccination,21568,vaccination in absolute number
22-09-2022,18+ Age 2nd Dose,862934519,vaccination in absolute number
22-09-2022,15-18 Age 1st Dose,61894394,vaccination in absolute number
22-09-2022,15-18 Age 2nd Dose,52897712,vaccination in absolute number
21-09-2022,18+ Age 1st Dose,921617229,vaccination in absolute number
21-09-2022,18+ Age 24hr Vaccination,20073,vaccination in absolute number
21-09-2022,18+ Age 2nd Dose,862853918,vaccination in absolute number
21-09-2022,15-18 Age 1st Dose,61886738,vaccination in absolute number
21-09-2022,15-18 Age 2nd Dose,52880405,vaccination in absolute number
20-09-2022,18+ Age 1st Dose,921597156,vaccination in absolute number
20-09-2022,18+ Age 24hr Vaccination,19953,vaccination in absolute number
20-09-2022,18+ Age 2nd Dose,862779752,vaccination in absolute number
20-09-2022,15-18 Age 1st Dose,61879548,vaccination in absolute number
20-09-2022,15-18 Age 2nd Dose,52863283,vaccination in absolute number
19-09-2022,18+ Age 1st Dose,921577203,vaccination in absolute number
19-09-2022,18+ Age 24hr Vaccination,37667,vaccination in absolute number
19-09-2022,18+ Age 2nd Dose,862699329,vaccination in absolute number
19-09-2022,15-18 Age 1st Dose,61871578,vaccination in absolute number
19-09-2022,15-18 Age 2nd Dose,52846994,vaccination in absolute number
18-09-2022,18+ Age 1st Dose,921539536,vaccination in absolute number
18-09-2022,18+ Age 24hr Vaccination,21756,vaccination in absolute number
18-09-2022,18+ Age 2nd Dose,862521903,vaccination in absolute number
18-09-2022,15-18 Age 1st Dose,61866382,vaccination in absolute number
18-09-2022,15-18 Age 2nd Dose,52830896,vaccination in absolute number
17-09-2022,18+ Age 1st Dose,921517780,vaccination in absolute number
17-09-2022,18+ Age 24hr Vaccination,26494,vaccination in absolute number
17-09-2022,18+ Age 2nd Dose,862432242,vaccination in absolute number
17-09-2022,15-18 Age 1st Dose,61859458,vaccination in absolute number
17-09-2022,15-18 Age 2nd Dose,52813182,vaccination in absolute number
16-09-2022,18+ Age 1st Dose,921491286,vaccination in absolute number
16-09-2022,18+ Age 24hr Vaccination,30897,vaccination in absolute number
16-09-2022,18+ Age 2nd Dose,862312599,vaccination in absolute number
16-09-2022,15-18 Age 1st Dose,61848557,vaccination in absolute number
16-09-2022,15-18 Age 2nd Dose,52789873,vaccination in absolute number
15-09-2022,18+ Age 1st Dose,921460389,vaccination in absolute number
15-09-2022,18+ Age 24hr Vaccination,36308,vaccination in absolute number
15-09-2022,18+ Age 2nd Dose,862165390,vaccination in absolute number
15-09-2022,15-18 Age 1st Dose,61830995,vaccination in absolute number
15-09-2022,15-18 Age 2nd Dose,52749084,vaccination in absolute number
14-09-2022,18+ Age 1st Dose,921424081,vaccination in absolute number
14-09-2022,18+ Age 24hr Vaccination,28345,vaccination in absolute number
14-09-2022,18+ Age 2nd Dose,862034320,vaccination in absolute number
14-09-2022,15-18 Age 1st Dose,61818801,vaccination in absolute number
14-09-2022,15-18 Age 2nd Dose,52715122,vaccination in absolute number
13-09-2022,18+ Age 1st Dose,921395736,vaccination in absolute number
13-09-2022,18+ Age 24hr Vaccination,30846,vaccination in absolute number
13-09-2022,18+ Age 2nd Dose,861930138,vaccination in absolute number
13-09-2022,15-18 Age 1st Dose,61808980,vaccination in absolute number
13-09-2022,15-18 Age 2nd Dose,52690705,vaccination in absolute number
12-09-2022,18+ Age 1st Dose,921364890,vaccination in absolute number
12-09-2022,18+ Age 24hr Vaccination,51795,vaccination in absolute number
12-09-2022,18+ Age 2nd Dose,861809844,vaccination in absolute number
12-09-2022,15-18 Age 1st Dose,61797218,vaccination in absolute number
12-09-2022,15-18 Age 2nd Dose,52664357,vaccination in absolute number
11-09-2022,18+ Age 1st Dose,921313095,vaccination in absolute number
11-09-2022,18+ Age 24hr Vaccination,27407,vaccination in absolute number
11-09-2022,18+ Age 2nd Dose,861536922,vaccination in absolute number
11-09-2022,15-18 Age 1st Dose,61792113,vaccination in absolute number
11-09-2022,15-18 Age 2nd Dose,52644732,vaccination in absolute number
10-09-2022,18+ Age 1st Dose,921285688,vaccination in absolute number
10-09-2022,18+ Age 24hr Vaccination,28775,vaccination in absolute number
10-09-2022,18+ Age 2nd Dose,861422587,vaccination in absolute number
10-09-2022,15-18 Age 1st Dose,61782129,vaccination in absolute number
10-09-2022,15-18 Age 2nd Dose,52620307,vaccination in absolute number
09-09-2022,18+ Age 1st Dose,921256910,vaccination in absolute number
09-09-2022,18+ Age 24hr Vaccination,37555,vaccination in absolute number
09-09-2022,18+ Age 2nd Dose,861310059,vaccination in absolute number
09-09-2022,15-18 Age 1st Dose,61773053,vaccination in absolute number
09-09-2022,15-18 Age 2nd Dose,52595856,vaccination in absolute number
08-09-2022,18+ Age 1st Dose,921219355,vaccination in absolute number
08-09-2022,18+ Age 24hr Vaccination,47463,vaccination in absolute number
08-09-2022,18+ Age 2nd Dose,861128536,vaccination in absolute number
08-09-2022,15-18 Age 1st Dose,61756679,vaccination in absolute number
08-09-2022,15-18 Age 2nd Dose,52547031,vaccination in absolute number
07-09-2022,18+ Age 1st Dose,921171892,vaccination in absolute number
07-09-2022,18+ Age 24hr Vaccination,32998,vaccination in absolute number
07-09-2022,18+ Age 2nd Dose,860970238,vaccination in absolute number
07-09-2022,15-18 Age 1st Dose,61745431,vaccination in absolute number
07-09-2022,15-18 Age 2nd Dose,52516492,vaccination in absolute number
06-09-2022,18+ Age 1st Dose,921138894,vaccination in absolute number
06-09-2022,18+ Age 24hr Vaccination,32274,vaccination in absolute number
06-09-2022,18+ Age 2nd Dose,860857818,vaccination in absolute number
06-09-2022,15-18 Age 1st Dose,61735783,vaccination in absolute number
06-09-2022,15-18 Age 2nd Dose,52494179,vaccination in absolute number
05-09-2022,18+ Age 1st Dose,921106620,vaccination in absolute number
05-09-2022,18+ Age 24hr Vaccination,59562,vaccination in absolute number
05-09-2022,18+ Age 2nd Dose,860735262,vaccination in absolute number
05-09-2022,15-18 Age 1st Dose,61729479,vaccination in absolute number
05-09-2022,15-18 Age 2nd Dose,52475965,vaccination in absolute number
04-09-2022,18+ Age 1st Dose,921047058,vaccination in absolute number
04-09-2022,18+ Age 24hr Vaccination,29824,vaccination in absolute number
04-09-2022,18+ Age 2nd Dose,860440102,vaccination in absolute number
04-09-2022,15-18 Age 1st Dose,61724931,vaccination in absolute number
04-09-2022,15-18 Age 2nd Dose,52460623,vaccination in absolute number
03-09-2022,18+ Age 1st Dose,921017234,vaccination in absolute number
03-09-2022,18+ Age 24hr Vaccination,32731,vaccination in absolute number
03-09-2022,18+ Age 2nd Dose,860315209,vaccination in absolute number
03-09-2022,15-18 Age 1st Dose,61715384,vaccination in absolute number
03-09-2022,15-18 Age 2nd Dose,52427661,vaccination in absolute number
02-09-2022,18+ Age 1st Dose,920984503,vaccination in absolute number
02-09-2022,18+ Age 24hr Vaccination,41101,vaccination in absolute number
02-09-2022,18+ Age 2nd Dose,860178180,vaccination in absolute number
02-09-2022,15-18 Age 1st Dose,61703154,vaccination in absolute number
02-09-2022,15-18 Age 2nd Dose,52396882,vaccination in absolute number
01-09-2022,18+ Age 1st Dose,920943402,vaccination in absolute number
01-09-2022,18+ Age 24hr Vaccination,24780,vaccination in absolute number
01-09-2022,18+ Age 2nd Dose,860005857,vaccination in absolute number
01-09-2022,15-18 Age 1st Dose,61686394,vaccination in absolute number
01-09-2022,15-18 Age 2nd Dose,52349213,vaccination in absolute number
31-08-2022,18+ Age 1st Dose,920918622,vaccination in absolute number
31-08-2022,18+ Age 24hr Vaccination,29801,vaccination in absolute number
31-08-2022,18+ Age 2nd Dose,859914017,vaccination in absolute number
31-08-2022,15-18 Age 1st Dose,61678588,vaccination in absolute number
31-08-2022,15-18 Age 2nd Dose,52328239,vaccination in absolute number
29-08-2022,18+ Age 1st Dose,920846238,vaccination in absolute number
29-08-2022,18+ Age 24hr Vaccination,29833,vaccination in absolute number
29-08-2022,18+ Age 2nd Dose,859627105,vaccination in absolute number
29-08-2022,15-18 Age 1st Dose,61655287,vaccination in absolute number
29-08-2022,15-18 Age 2nd Dose,52270829,vaccination in absolute number
28-08-2022,18+ Age 1st Dose,920816405,vaccination in absolute number
28-08-2022,18+ Age 24hr Vaccination,59439,vaccination in absolute number
28-08-2022,18+ Age 2nd Dose,859506625,vaccination in absolute number
28-08-2022,15-18 Age 1st Dose,61650847,vaccination in absolute number
28-08-2022,15-18 Age 2nd Dose,52259094,vaccination in absolute number
27-08-2022,18+ Age 1st Dose,920756966,vaccination in absolute number
27-08-2022,18+ Age 24hr Vaccination,42955,vaccination in absolute number
27-08-2022,18+ Age 2nd Dose,859319998,vaccination in absolute number
27-08-2022,15-18 Age 1st Dose,61637810,vaccination in absolute number
27-08-2022,15-18 Age 2nd Dose,52224659,vaccination in absolute number
26-08-2022,18+ Age 1st Dose,920714011,vaccination in absolute number
26-08-2022,18+ Age 24hr Vaccination,54593,vaccination in absolute number
26-08-2022,18+ Age 2nd Dose,859149033,vaccination in absolute number
26-08-2022,15-18 Age 1st Dose,61623068,vaccination in absolute number
26-08-2022,15-18 Age 2nd Dose,52187960,vaccination in absolute number
25-08-2022,18+ Age 1st Dose,920659418,vaccination in absolute number
25-08-2022,18+ Age 24hr Vaccination,45294,vaccination in absolute number
25-08-2022,18+ Age 2nd Dose,858896453,vaccination in absolute number
25-08-2022,15-18 Age 1st Dose,61600571,vaccination in absolute number
25-08-2022,15-18 Age 2nd Dose,52116541,vaccination in absolute number
24-08-2022,18+ Age 1st Dose,920614124,vaccination in absolute number
24-08-2022,18+ Age 24hr Vaccination,43404,vaccination in absolute number
24-08-2022,18+ Age 2nd Dose,858709427,vaccination in absolute number
24-08-2022,15-18 Age 1st Dose,61586402,vaccination in absolute number
24-08-2022,15-18 Age 2nd Dose,52079088,vaccination in absolute number
23-08-2022,18+ Age 1st Dose,920570720,vaccination in absolute number
23-08-2022,18+ Age 24hr Vaccination,42255,vaccination in absolute number
23-08-2022,18+ Age 2nd Dose,858524577,vaccination in absolute number
23-08-2022,15-18 Age 1st Dose,61571287,vaccination in absolute number
23-08-2022,15-18 Age 2nd Dose,52039860,vaccination in absolute number
22-08-2022,18+ Age 1st Dose,920528465,vaccination in absolute number
22-08-2022,18+ Age 24hr Vaccination,83537,vaccination in absolute number
22-08-2022,18+ Age 2nd Dose,858339772,vaccination in absolute number
22-08-2022,15-18 Age 1st Dose,61556598,vaccination in absolute number
22-08-2022,15-18 Age 2nd Dose,51996985,vaccination in absolute number
21-08-2022,18+ Age 1st Dose,920444928,vaccination in absolute number
21-08-2022,18+ Age 24hr Vaccination,44464,vaccination in absolute number
21-08-2022,18+ Age 2nd Dose,857967408,vaccination in absolute number
21-08-2022,15-18 Age 1st Dose,61549637,vaccination in absolute number
21-08-2022,15-18 Age 2nd Dose,51965784,vaccination in absolute number
20-08-2022,18+ Age 1st Dose,920400464,vaccination in absolute number
20-08-2022,18+ Age 24hr Vaccination,24734,vaccination in absolute number
20-08-2022,18+ Age 2nd Dose,857790249,vaccination in absolute number
20-08-2022,15-18 Age 1st Dose,61536693,vaccination in absolute number
20-08-2022,15-18 Age 2nd Dose,51925571,vaccination in absolute number
19-08-2022,18+ Age 1st Dose,920375730,vaccination in absolute number
19-08-2022,18+ Age 24hr Vaccination,54213,vaccination in absolute number
19-08-2022,18+ Age 2nd Dose,857686277,vaccination in absolute number
19-08-2022,15-18 Age 1st Dose,61529678,vaccination in absolute number
19-08-2022,15-18 Age 2nd Dose,51902009,vaccination in absolute number
18-08-2022,18+ Age 1st Dose,920321517,vaccination in absolute number
18-08-2022,18+ Age 24hr Vaccination,51701,vaccination in absolute number
18-08-2022,18+ Age 2nd Dose,857470021,vaccination in absolute number
18-08-2022,15-18 Age 1st Dose,61508462,vaccination in absolute number
18-08-2022,15-18 Age 2nd Dose,51854238,vaccination in absolute number
17-08-2022,18+ Age 1st Dose,920269816,vaccination in absolute number
17-08-2022,18+ Age 24hr Vaccination,40946,vaccination in absolute number
17-08-2022,18+ Age 2nd Dose,857257116,vaccination in absolute number
17-08-2022,15-18 Age 1st Dose,61489319,vaccination in absolute number
17-08-2022,15-18 Age 2nd Dose,51805713,vaccination in absolute number
16-08-2022,18+ Age 1st Dose,920228870,vaccination in absolute number
16-08-2022,18+ Age 24hr Vaccination,9310,vaccination in absolute number
16-08-2022,18+ Age 2nd Dose,857088917,vaccination in absolute number
16-08-2022,15-18 Age 1st Dose,61474348,vaccination in absolute number
16-08-2022,15-18 Age 2nd Dose,51775801,vaccination in absolute number
15-08-2022,18+ Age 1st Dose,920219560,vaccination in absolute number
15-08-2022,18+ Age 24hr Vaccination,29337,vaccination in absolute number
15-08-2022,18+ Age 2nd Dose,857047825,vaccination in absolute number
15-08-2022,15-18 Age 1st Dose,61472371,vaccination in absolute number
15-08-2022,15-18 Age 2nd Dose,51771173,vaccination in absolute number
14-08-2022,18+ Age 1st Dose,920190223,vaccination in absolute number
14-08-2022,18+ Age 24hr Vaccination,49070,vaccination in absolute number
14-08-2022,18+ Age 2nd Dose,856912084,vaccination in absolute number
14-08-2022,15-18 Age 1st Dose,61466849,vaccination in absolute number
14-08-2022,15-18 Age 2nd Dose,51756181,vaccination in absolute number
13-08-2022,18+ Age 1st Dose,920141153,vaccination in absolute number
13-08-2022,18+ Age 24hr Vaccination,38994,vaccination in absolute number
13-08-2022,18+ Age 2nd Dose,856692178,vaccination in absolute number
13-08-2022,15-18 Age 1st Dose,61444491,vaccination in absolute number
13-08-2022,15-18 Age 2nd Dose,51709343,vaccination in absolute number
12-08-2022,18+ Age 1st Dose,920102159,vaccination in absolute number
12-08-2022,18+ Age 24hr Vaccination,40292,vaccination in absolute number
12-08-2022,18+ Age 2nd Dose,856524507,vaccination in absolute number
12-08-2022,15-18 Age 1st Dose,61428819,vaccination in absolute number
12-08-2022,15-18 Age 2nd Dose,51673887,vaccination in absolute number
11-08-2022,18+ Age 1st Dose,920061867,vaccination in absolute number
11-08-2022,18+ Age 24hr Vaccination,43271,vaccination in absolute number
11-08-2022,18+ Age 2nd Dose,856349846,vaccination in absolute number
11-08-2022,15-18 Age 1st Dose,61411968,vaccination in absolute number
11-08-2022,15-18 Age 2nd Dose,51629137,vaccination in absolute number
10-08-2022,18+ Age 1st Dose,920018596,vaccination in absolute number
10-08-2022,18+ Age 24hr Vaccination,33315,vaccination in absolute number
10-08-2022,18+ Age 2nd Dose,856147575,vaccination in absolute number
10-08-2022,15-18 Age 1st Dose,61395012,vaccination in absolute number
10-08-2022,15-18 Age 2nd Dose,51590257,vaccination in absolute number
09-08-2022,18+ Age 1st Dose,919985281,vaccination in absolute number
09-08-2022,18+ Age 24hr Vaccination,54501,vaccination in absolute number
09-08-2022,18+ Age 2nd Dose,856027061,vaccination in absolute number
09-08-2022,15-18 Age 1st Dose,61385582,vaccination in absolute number
09-08-2022,15-18 Age 2nd Dose,51564142,vaccination in absolute number
08-08-2022,18+ Age 1st Dose,919930780,vaccination in absolute number
08-08-2022,18+ Age 24hr Vaccination,106461,vaccination in absolute number
08-08-2022,18+ Age 2nd Dose,855803202,vaccination in absolute number
08-08-2022,15-18 Age 1st Dose,61364340,vaccination in absolute number
08-08-2022,15-18 Age 2nd Dose,51505188,vaccination in absolute number
07-08-2022,18+ Age 1st Dose,919824319,vaccination in absolute number
07-08-2022,18+ Age 24hr Vaccination,49363,vaccination in absolute number
07-08-2022,18+ Age 2nd Dose,855371625,vaccination in absolute number
07-08-2022,15-18 Age 1st Dose,61352619,vaccination in absolute number
07-08-2022,15-18 Age 2nd Dose,51469424,vaccination in absolute number
06-08-2022,18+ Age 1st Dose,919774956,vaccination in absolute number
